127.0.0.1 - - [23/Apr/2014:10:23:33 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:23:35 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:24:16 +0900] "GET /web/postTest.jsp?name=mic&address=seoul HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:27:54 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:28:07 +0900] "GET /web/postTest.jsp?name=kim&address=seoul HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:32:28 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:32:33 +0900] "GET /web/postTest.jsp?name=kim&address=seoul HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:32:53 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:32:58 +0900] "GET /web/postTest.jsp?name=kim&address=seoul HTTP/1.1" 200 83
192.168.0.50 - - [23/Apr/2014:10:47:37 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.50 - - [23/Apr/2014:10:47:46 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:10:48:01 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.50 - - [23/Apr/2014:10:48:08 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:10:48:15 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:10:50:34 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:10:55:41 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:10:55:49 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:10:55:56 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.50 - - [23/Apr/2014:11:16:08 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.38 - - [23/Apr/2014:11:16:15 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
